id,title,ingredients
251,Cranberry Orange Scones,"flour,butter,milk,cranberry,orange zest"
252,Beef Bulgogi,"beef,soy sauce,sugar,garlic,sesame oil"
253,Vegetable Fried Rice,"rice,egg,soy sauce,vegetable oil,mixed vegetables"
254,Chocolate Lava Cake,"chocolate,butter,egg,sugar,flour"
255,Greek Salad,"cucumber,tomato,feta cheese,olives,onion,oregano"
256,Chicken Shawarma,"chicken,pita bread,yogurt sauce,vegetables"
257,Potato Gratin,"potato,cream,garlic,cheese"
258,Lemon Loaf,"flour,sugar,egg,milk,lemon juice,lemon glaze"
259,Shrimp Gumbo,"shrimp,sausage,okra,rice,broth"
260,Apple Cider,"apple,cinnamon,cloves,sugar,water"
261,Chicken Parmesan,"chicken,tomato sauce,mozzarella,parmesan,pasta"
262,Hot and Sour Soup,"bamboo shoots,mushroom,tofu,vinegar,soy sauce,egg"
263,Peanut Butter Cookies,"peanut butter,sugar,egg"
264,Beef Tostadas,"corn tortilla,beans,ground beef,lettuce,salsa"
265,Mango Sorbet,"mango,sugar,water,lime juice"
266,Chicken Fajita Salad,"lettuce,chicken,bell peppers,onion,salsa,dressing"
267,Pecan Pie,"pecan,corn syrup,sugar,egg,pie crust"
268,Vegetarian Lasagna,"lasagna noodles,ricotta cheese,marinara sauce,vegetables"
269,French Dip Sandwich,"roast beef,roll,beef broth (au jus)"
270,Mint Julep,"bourbon,mint,sugar,water"
271,Turkey Chili,"ground turkey,beans,tomato,onion,chili powder"
272,Strawberry Shortcake,"biscuit,strawberry,whipped cream"
273,Chicken Curry Salad,"chicken,mayonnaise,curry powder,raisins,celery"
274,Loaded Baked Potato,"potato,butter,sour cream,cheese,bacon,chives"
275,Chocolate Zucchini Bread,"zucchini,flour,sugar,cocoa powder,egg,oil"
276,Shrimp and Grits,"shrimp,grits,cheese,bacon"
277,Hot Cross Buns,"flour,milk,yeast,sugar,cinnamon,dried fruit"
278,Chicken Enchiladas,"tortilla,chicken,cheese,enchilada sauce,onion"
279,Caprese Skewers,"mozzarella balls,cherry tomato,basil,balsamic glaze"
280,Banana Smoothie,"banana,milk,yogurt,honey"
281,Shepherd's Pie with Sweet Potato,"ground lamb or beef,sweet potato mash,vegetables,broth"
282,Cornbread Stuffing,"cornbread,celery,onion,butter,broth"
283,Beef Gyro,"pita bread,beef or lamb,tzatziki sauce,tomato,onion"
284,Peanut Butter and Jelly Sandwich,"bread,peanut butter,jelly"
285,Ginger Lime Dressing,"ginger,lime juice,soy sauce,sesame oil,honey"
286,Pork Chops with Apple Sauce,"pork chop,apple,sugar,cinnamon"
287,Chicken Teriyaki,"chicken,soy sauce,mirin,sugar,ginger,rice"
288,Coconut Macaroons,"shredded coconut,sweetened condensed milk,egg white"
289,Tuna Salad Wrap,"canned tuna,mayonnaise,celery,lettuce,tortilla"
290,Baked Potato Soup,"potato,cream,bacon,cheese,onion"
291,Cranberry Relish,"cranberry,orange,sugar"
292,Beef Stroganoff,"beef,mushroom,onion,sour cream,egg noodles"
293,Lemon Garlic Shrimp,"shrimp,lemon juice,garlic,butter,parsley"
294,Blueberry Muffins,"flour,sugar,egg,milk,blueberry,baking powder"
295,Chicken Noodle Stir-fry,"egg noodles,chicken,cabbage,carrot,soy sauce"
296,Peach Cobbler,"peach,flour,sugar,butter,cinnamon"
297,Veggie Burger,"vegetable patty,bun,lettuce,tomato,mayonnaise"
298,Irish Coffee,"coffee,irish whiskey,sugar,whipped cream"
299,Pasta Primavera,"pasta,seasonal vegetables,cream sauce"
300,Black Bean Burger,"black beans,breadcrumbs,onion,garlic powder,cumin"
